quando	chiave	codice	zona	sha256_mac	nome_mac	nome_supabase	nome_sheet	nome_scelto	slug_scelto	condivide_gif_con
2026-08-20T21:25:10	EX184	EX184	Addominali e Core	6eec35f2b337077c8a68b9c7b92768621b4777973f75906c66e3c20abef5a522	Sit-up farfalla	Sit-Up farfalla	Sit-up farfalla	Sit-up farfalla	sit-up-farfalla	EX139
2026-08-20T21:26:31	EX013	EX013	Gambe e Glutei	9bf078772d3b4afde76826ec8dffc878544353af72b2660d59e7178cb9f1ca2b	Squat corpo libero	Squat bilaterale simultaneo a corpo libero	Squat corpo libero	Squat semplice	squat-semplice	
2026-08-20T21:26:54	EX250	EX250	Gambe e Glutei	bbf585e7b1d26c3ff68786c36f2905c0567fa68daf8eb99d665676c17fd7726e	Leg press 45 gradi una gamba	Leg press 45° una gamba	Leg press 45 gradi una gamba	Leg press 45 gradi una gamba	leg-press-45-gradi-una-gamba	
2026-08-20T21:27:16	EX563	EX563	Polpacci	96914b39c399a123ecbbad7a1c6057a48b159498b72059f36a831ebb72e22b23	Calf raise leg press 45° (Leg press 45° calf raise)	Calf raise leg press 45°	Calf raise leg press 45 gradi	Calf raise leg press 45 gradi	calf-raise-leg-press-45-gradi	
2026-08-21T14:41:50	calf-raise-elastico-maniglie-in-piedi		Polpacci	54c66b8e7214a21f45e6e4d7d2864416bcb209fa8d2f808102f9e94e53e54194	Calf raise maniglie elastico in piedi	Calf raise elastico maniglie in piedi		Calf raise elastico maniglie	calf-raise-elastico-maniglie	
2026-08-21T14:45:40	calf-raise-elastico-maniglie-in-piedi		Polpacci	54c66b8e7214a21f45e6e4d7d2864416bcb209fa8d2f808102f9e94e53e54194	Calf raise maniglie elastico in piedi	Calf raise elastico maniglie in piedi		Calf raise cavi bassi dietro	calf-raise-cavi-bassi-dietro	
